x, y
1.379289195,497.3029195
17.93102261,566.6666517
31.72412502,650.138321
37.24138703,718.3264143
53.79306783,817.0815811
71.72414306,718.3264143
82.75861447,651.3139824
86.89653467,569.0179746
88.27582386,496.1272356
95.17237507,393.8451181
95.17237507,393.8451181
106.2068991,293.9142786
115.8620287,198.68604
128.2758419,109.3361308
139.3103133,47.02627741
150.3447847,106.9847632
161.3793087,196.334762
168.2758599,164.5919709
186.2068826,290.387272
193.1034338,395.0207571
202.7585634,498.4785584
216.5516658,571.3692974
237.2413194,618.3955748
262.0689458,577.2475821
281.3793102,503.1812041
302.0689639,400.8990418
325.5171959,290.387272
351.7241115,249.2392792
377.9310271,288.035994
393.1034187,400.8990418
402.7585483,507.883805
420.6896236,619.5711914
431.7241476,721.8533761
444.1378556,820.6085766
464.8275092,725.3803155
482.7585844,616.0442744
482.7585844,509.0594888
489.6551356,400.8990418
502.0689488,293.9142786
514.482762,191.6321163
514.482762,191.6321163
519.9999188,144.6058389
533.7930212,43.49936042
555.8620693,199.861679
566.8964881,163.4163319
577.9310121,299.7925633
586.2068525,402.0746808
605.5172169,513.7620896
633.1034217,617.2199134
674.482729,510.2351278
695.1723826,409.1286493
717.2413254,311.5491327
750.3447922,238.6583937
777.9309971,317.4274173
790.3448103,405.6016875
798.6206507,510.2351278
820.6895935,643.0843301
842.7585363,818.257265
867.5861627,697.1645984
875.8620031,627.8008437
879.9999759,520.8160582
882.7585543,411.4799722
886.8965272,358.5754101
895.1723676,279.8063864
903.448208,199.861679
914.482732,152.8354016
921.3792832,79.94470747
928.2758344,42.32363173
948.965488,201.037318
964.1378796,162.2406929
976.5516928,278.6307026
984.8275332,406.7773265
999.9999248,503.1812041
1028.965419,613.6929067
1067.586148,507.883805
1088.275801,415.006934
1119.999979,292.7385948
1142.068817,243.3609945
1166.896443,283.3332586
1179.310361,372.6832574
1191.724069,493.7759576
1204.137777,594.8824361
1220.689669,693.6376142
1238.620533,818.257265
1255.172425,725.3803155
1266.206738,683.0567062
1270.344711,606.6390055
1277.241262,527.8699818
1278.620657,430.2904652
1288.275786,332.7109485
1295.172337,265.6984046
1299.31031,197.510401
1310.344834,196.334762
1326.896515,43.49936042
1346.206774,198.68604
1357.241298,159.8893252
1380.68953,426.7635033
